Id,Name,Description,Category
affordability,Affordability,Cost of rent,TheCategory
parking,Parking,Ease and availability of parking,TheCategory
public_transportation,Public Transportation,Easy access to public transportation,TheCategory
employment_opportunities,Employment Opportunities,Number of job openings,TheCategory
theater,Theater,Theatrical events in the area,TheCategory
music,Music,Live music in the area,TheCategory
art,Art,Art and museums in the area,TheCategory
nature,Nature,Parks in the area,TheCategory
fitness,Fitness,Access to fitness equipment and programs,TheCategory
schools,Schools,Quality of schools in the area,TheCategory
daycare_availability,Daycare Availability,Availability of daycare services in the area,TheCategory
kid_activities,Kid Activities,Activities for kids in the area,TheCategory
safety,Safety,"Overall safety of the area, crime rate",TheCategory
grocery_proximity,Grocery Proximity,Access to groceries,TheCategory
dining,Dining,Restraunts in the area,TheCategory
community_engagement,Community Engagement,Community events and involvment,TheCategory
pet_friendliness,Pet Friendliness,Tolerance of pets ,TheCategory
